Code,Cross-Reference
111110,"Establishments engaged in growing soybeans in combination with grain(s) with the soybeans or grain(s) not accounting for one-half of the establishment's agricultural production (value of crops for market) are classified in U.S. Industry 111191, Oilseed and Grain Combination Farming."
111120,"Growing soybeans--are classified in Industry 111110, Soybean Farming; and"
111120,"Growing oilseed(s) in combination with grain(s) with no one oilseed (or family of oilseeds) or grain(s) (or family of grains) accounting for one-half of the establishment's agricultural production (value of crops for market)--are classified in U.S. Industry 111191, Oilseed and Grain Combination Farming."
111130,"Establishments primarily engaged in growing fresh green beans and peas are classified in U.S. Industry 111219, Other Vegetable (except Potato) and Melon Farming."
111140,"Establishments growing wheat in combination with oilseed(s) with the wheat or oilseed(s) not accounting for one-half of the establishment's agricultural production (value of crops for market) are classified in U.S. Industry 111191, Oilseed and Grain Combination Farming."
111150,"Growing sweet corn--are classified in U.S. Industry 111219, Other Vegetable (except Potato) and Melon Farming; and"
111150,"Growing corn in combination with oilseed(s) with the corn or oilseed(s) not accounting for one-half of the establishment's production (value of crops for market)--are classified in U.S. Industry 111191, Oilseed and Grain Combination Farming."
111160,"Growing wild rice--are classified in U.S. Industry 111199, All Other Grain Farming; and"
111160,"Growing rice in combination with oilseed(s) with the rice or oilseed(s) not accounting for one-half of the establishment's agricultural production (value of crops for market)--are classified in U.S. Industry 111191, Oilseed and Grain Combination Farming."
11119,"Growing wheat--are classified in Industry 11114, Wheat Farming;"
11119,"Growing corn (except sweet corn)--are classified in Industry 11115, Corn Farming;"
11119,"Growing sweet corn--are classified in Industry 11121, Vegetable and Melon Farming; and"
11119,"Growing rice (except wild rice)--are classified in Industry 11116, Rice Farming."
111191,"Establishments engaged in growing one grain (or family of grains) or oilseed (or family of oilseeds) accounting for one-half of the establishment's agricultural production (i.e., value of crops for market) are classified in Industry Group 1111, Oilseed and Grain Farming, accordingly by the prominent grain(s) or oilseed(s) grown."
111199,"Growing wheat--are classified in Industry 111140, Wheat Farming;"
111199,"Growing corn (except sweet corn)--are classified in Industry 111150, Corn Farming;"
111199,"Growing rice (except wild rice)--are classified in Industry 111160, Rice Farming;"
111199,"Growing sweet corn--are classified in U.S. Industry 111219, Other Vegetable (except Potato) and Melon Farming; and"
