SIC Code,SIC Description,NAICS Code,NAICS Description
116,Soybeans,111110,Soybean Farming
119,"Cash Grains, Nec",111120,Oilseed (except Soybean) Farming
119,"Cash Grains, Nec",111130,Dry Pea and Bean Farming
111,wheat,111140,Wheat Farming
115,Corn,111150,Corn Farming
119,"Cash Grains, Nec",111150,Corn Farming
112,Rice,111160,Rice Farming
119,"Cash Grains, Nec",111191,Oilseed and Grain Combination Farming
119,"Cash Grains, Nec",111199,All Other Grain Farming
139,"Field Crops, Except Cash Grain",111199,All Other Grain Farming
134,Irish Potatoes,111211,Potato Farming
139,"Field Crops, Except Cash Grain",111211,Potato Farming
161,Vegetables and Melons,111211,Potato Farming
139,"Field Crops, Except Cash Grain",111219,Other Vegetable (except Potato) and Melon Farming
161,Vegetables and Melons,111219,Other Vegetable (except Potato) and Melon Farming
174,Citrus Fruits,111310,Orange Groves
174,Citrus Fruits,111320,Citrus (except Orange) Groves
175,Deciduous Tree Fruits,111331,Apple Orchards
172,Grapes,111332,Grape Vineyards
171,Berry Crops,111333,Strawberry Farming
171,Berry Crops,111334,Berry (except Strawberry) Farming
173,Tree Nuts,111335,Tree Nut Farming
179,"Fruits and Tree Nuts, Nec",111336,Fruit and Tree Nut Combination Farming
175,Deciduous Tree Fruits,111339,Other Noncitrus Fruit Farming
179,"Fruits and Tree Nuts, Nec",111339,Other Noncitrus Fruit Farming
182,Food Crops Grown Under Cover,111411,Mushroom Production
182,Food Crops Grown Under Cover,111419,Other Food Crops Grown Under Cover
181,Ornamental Nursery Products,111421,Nursery and Tree Production
811,Timber Tracts,111421,Nursery and Tree Production
181,Ornamental Nursery Products,111422,Floriculture Production
132,Tobacco,111910,Tobacco Farming
131,Cotton,111920,Cotton Farming
133,Sugarcane and Sugar Beets,111930,Sugarcane Farming
139,"Field Crops, Except Cash Grain",111940,Hay Farming
133,Sugarcane and Sugar Beets,111991,Sugar Beet Farming
139,"Field Crops, Except Cash Grain",111992,Peanut Farming
139,"Field Crops, Except Cash Grain",111998,All Other Miscellaneous Crop Farming
191,"General Farms, Primarily Crop",111998,All Other Miscellaneous Crop Farming
831,Forest Products,111998,All Other Miscellaneous Crop Farming
919,Miscellaneous Marine Products,111998,All Other Miscellaneous Crop Farming
2099,"Food Preparations, Nec",111998,All Other Miscellaneous Crop Farming
212,"Beef Cattle, Except Feedlots",112111,Beef Cattle Ranching and Farming
241,Dairy Farms,112111,Beef Cattle Ranching and Farming
211,Beef Cattle Feedlots,112112,Cattle Feedlots
241,Dairy Farms,112120,Dairy Cattle and Milk Production
Aux,,112130,Dual-Purpose Cattle Ranching and Farming
213,Hogs,112210,Hog and Pig Farming
252,Chicken Eggs,112310,Chicken Egg Production
251,"Broiler, Fryer, and Roaster Chickens",112320,Broilers and Other Meat Type Chicken Production
253,Turkeys and Turkey Eggs,112330,Turkey Production
254,Poultry Hatcheries,112340,Poultry Hatcheries
259,"Poultry and Eggs, Nec",112390,Other Poultry Production
214,Sheep and Goats,112410,Sheep Farming
214,Sheep and Goats,112420,Goat Farming
273,Animal Aquaculture,112511,Finfish Farming and Fish Hatcheries
921,Fish Hatcheries and Preserves,112511,Finfish Farming and Fish Hatcheries
273,Animal Aquaculture,112512,Shellfish Farming
919,Miscellaneous Marine Products,112512,Shellfish Farming
921,Fish Hatcheries and Preserves,112512,Shellfish Farming
139,"Field Crops, Except Cash Grain",112519,Other Aquaculture
191,"General Farms, Primarily Crop",112519,Other Aquaculture
273,Animal Aquaculture,112519,Other Aquaculture
279,"Animal Specialties, Nec",112519,Other Aquaculture
831,Forest Products,112519,Other Aquaculture
919,Miscellaneous Marine Products,112519,Other Aquaculture
2099,"Food Preparations, Nec",112519,Other Aquaculture
279,"Animal Specialties, Nec",112910,Apiculture
272,Horses and Other Equines,112920,Horses and Other Equine Production
271,Fur-bearing Animals and Rabbits,112930,Fur-Bearing Animal and Rabbit Production
219,"General Livestock, Nec",112990,All Other Animal Production
279,"Animal Specialties, Nec",112990,All Other Animal Production
291,"General Farms, Primarily animals",112990,All Other Animal Production
811,Timber Tracts,113110,Timber Tract Operations
831,Forest Products,113210,Forest Nurseries and Gathering of Forest Products
2411,Logging,113310,Logging
912,Finfish,114111,Finfish Fishing
913,Shellfish,114112,Shellfish Fishing
919,Miscellaneous Marine Products,114112,Shellfish Fishing
919,Miscellaneous Marine Products,114119,Other Marine Fishing
971,"Hunting, Trapping, Game Propagation",114210,Hunting and Trapping
724,Cotton Ginning,115111,Cotton Ginning
711,Soil Preparation Services,115112,"Soil Preparation, Planting, and Cultivating"
721,Crop Planting and Protection,115112,"Soil Preparation, Planting, and Cultivating"
722,Crop Harvesting,115113,"Crop Harvesting, Primarily by Machine"
723,Crop Preparation Services For Market,115114,Postharvest Crop Activities (except Cotton Ginning)
761,Farm Labor Contractors,115115,Farm Labor Contractors and Crew Leaders
762,Farm Management Services,115116,Farm Management Services
751,"Livestock Services, Except Veterinary",115210,Support Activities for Animal Production
752,Animal Specialty Services,115210,Support Activities for Animal Production
7699,"Repair Services, Nec",115210,Support Activities for Animal Production
851,Forestry Services,115310,Support Activities for Forestry
1311,Crude Petroleum and Natural Gas,211120,Crude Petroleum Extraction
1321,Natural Gas Liquids,211130,Natural Gas Extraction
2819,"Industrial Inorganic Chemicals, Nec",211130,Natural Gas Extraction
1221,Bituminous Coal and Lignite-surface Mining,212111,Bituminous Coal and Lignite Surface Mining
1222,Bituminous Coal-underground Mining,212112,Bituminous Coal Underground Mining
1231,Anthracite Mining,212113,Anthracite Mining
1011,Iron Ores,212210,Iron Ore Mining
1041,Gold Ores,212221,Gold Ore Mining
1044,Silver Ores,212222,Silver Ore Mining
1021,Copper Ores,212230,"Copper, Nickel, Lead, and Zinc Mining"
1031,Lead and Zinc Ores,212230,"Copper, Nickel, Lead, and Zinc Mining"
1061,"Ferroalloy Ores, Except Vanadium",212230,"Copper, Nickel, Lead, and Zinc Mining"
1094,Uranium-radium-vanadium Ores,212291,Uranium-Radium-Vanadium Ore Mining
1061,"Ferroalloy Ores, Except Vanadium",212299,All Other Metal Ore Mining
1099,"Metal Ores, Nec",212299,All Other Metal Ore Mining
1411,Dimension Stone,212311,Dimension Stone Mining and Quarrying
1422,Crushed and Broken Limestone,212312,Crushed and Broken Limestone Mining and Quarrying
1423,Crushed and Broken Granite,212313,Crushed and Broken Granite Mining and Quarrying
1429,"Crushed and Broken Stone, Nec",212319,Other Crushed and Broken Stone Mining and Quarrying
1499,Miscellaneous Nonmetallic Mining,212319,Other Crushed and Broken Stone Mining and Quarrying
1442,Construction Sand and Gravel,212321,Construction Sand and Gravel Mining
1446,Industrial Sand,212322,Industrial Sand Mining
1455,Kaolin and Ball Clay,212324,Kaolin and Ball Clay Mining
3295,"Minerals, Ground or Treated",212324,Kaolin and Ball Clay Mining
1459,"Clay and Related Minerals, Nec",212325,Clay and Ceramic and Refractory Minerals Mining
3295,"Minerals, Ground or Treated",212325,Clay and Ceramic and Refractory Minerals Mining
1474,"Potash, Soda, and Borate Minerals",212391,"Potash, Soda, and Borate Mineral Mining"
1475,Phosphate Rock,212392,Phosphate Rock Mining
1479,Chemical and Fertilizer Mining,212393,Other Chemical and Fertilizer Mineral Mining
3295,"Minerals, Ground or Treated",212393,Other Chemical and Fertilizer Mineral Mining
1499,Miscellaneous Nonmetallic Mining,212399,All Other Nonmetallic Mineral Mining
3295,"Minerals, Ground or Treated",212399,All Other Nonmetallic Mineral Mining
1381,Drilling Oil and Gas Wells,213111,Drilling Oil and Gas Wells
1382,Oil and Gas Exploration Services,213112,Support Activities for Oil and Gas Operations
1389,"Oil and Gas Field Services, Nec",213112,Support Activities for Oil and Gas Operations
1241,Coal Mining Services,213113,Support Activities for Coal Mining
1081,Metal Mining Services,213114,Support Activities for Metal Mining
1481,Nonmetallic Mineral Services,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining
4911,Electric Services,221111,Hydroelectric Power Generation
4931,Electric and Other Services Combined,221111,Hydroelectric Power Generation
4939,"Combination Utilities, Nec",221111,Hydroelectric Power Generation
4911,Electric Services,221112,Fossil Fuel Electric Power Generation
4931,Electric and Other Services Combined,221112,Fossil Fuel Electric Power Generation
4939,"Combination Utilities, Nec",221112,Fossil Fuel Electric Power Generation
4911,Electric Services,221113,Nuclear Electric Power Generation
4931,Electric and Other Services Combined,221113,Nuclear Electric Power Generation
4939,"Combination Utilities, Nec",221113,Nuclear Electric Power Generation
4911,Electric Services,221114,Solar Electric Power Generation
4931,Electric and Other Services Combined,221114,Solar Electric Power Generation
4939,"Combination Utilities, Nec",221114,Solar Electric Power Generation
4911,Electric Services,221115,Wind Electric Power Generation
4931,Electric and Other Services Combined,221115,Wind Electric Power Generation
4939,"Combination Utilities, Nec",221115,Wind Electric Power Generation
4911,Electric Services,221116,Geothermal Electric Power Generation
4931,Electric and Other Services Combined,221116,Geothermal Electric Power Generation
4939,"Combination Utilities, Nec",221116,Geothermal Electric Power Generation
4911,Electric Services,221117,Biomass Electric Power Generation
4931,Electric and Other Services Combined,221117,Biomass Electric Power Generation
4939,"Combination Utilities, Nec",221117,Biomass Electric Power Generation
4911,Electric Services,221118,Other Electric Power Generation
4931,Electric and Other Services Combined,221118,Other Electric Power Generation
4939,"Combination Utilities, Nec",221118,Other Electric Power Generation
4911,Electric Services,221121,Electric Bulk Power Transmission and Control
4931,Electric and Other Services Combined,221121,Electric Bulk Power Transmission and Control
4939,"Combination Utilities, Nec",221121,Electric Bulk Power Transmission and Control
4911,Electric Services,221122,Electric Power Distribution
4931,Electric and Other Services Combined,221122,Electric Power Distribution
4939,"Combination Utilities, Nec",221122,Electric Power Distribution
4923,Gas Transmission and Distribution,221210,Natural Gas Distribution
4924,Natural Gas Distribution,221210,Natural Gas Distribution
4925,Gas Production and/or Distribution,221210,Natural Gas Distribution
4931,Electric and Other Services Combined,221210,Natural Gas Distribution
4932,Gas and Other Services Combined,221210,Natural Gas Distribution
4939,"Combination Utilities, Nec",221210,Natural Gas Distribution
4941,Water Supply,221310,Water Supply and Irrigation Systems
4971,Irrigation Systems,221310,Water Supply and Irrigation Systems
4952,Sewerage Systems,221320,Sewage Treatment Facilities
4961,Steam and Air-conditioning Supply,221330,Steam and Air-Conditioning Supply
1521,Single-family Housing Construction,236115,New Single-Family Housing Construction (except For-Sale Builders)
8741,Management Services,236115,New Single-Family Housing Construction (except For-Sale Builders)
1522,"Residential Construction, Nec",236116,New Multifamily Housing Construction (except For-Sale Builders)
8741,Management Services,236116,New Multifamily Housing Construction (except For-Sale Builders)
1531,Operative Builders,236117,New Housing For-Sale Builders
1521,Single-family Housing Construction,236118,Residential Remodelers
1522,"Residential Construction, Nec",236118,Residential Remodelers
1531,Operative Builders,236118,Residential Remodelers
8741,Management Services,236118,Residential Remodelers
1531,Operative Builders,236210,Industrial Building Construction
1541,Industrial Buildings and Warehouses,236210,Industrial Building Construction
1629,"Heavy Construction, Nec",236210,Industrial Building Construction
8741,Management Services,236210,Industrial Building Construction
1522,"Residential Construction, Nec",236220,Commercial and Institutional Building Construction
1531,Operative Builders,236220,Commercial and Institutional Building Construction
1541,Industrial Buildings and Warehouses,236220,Commercial and Institutional Building Construction
1542,"Nonresidential Construction, Nec",236220,Commercial and Institutional Building Construction
1799,"Special Trade Contractors, Nec",236220,Commercial and Institutional Building Construction
8741,Management Services,236220,Commercial and Institutional Building Construction
